Age;Title;Country;Ordered Quantity;Ordered Value in Euro;Returned Value in Euro;Average Order Quantitiy;Average Order Value in Euro
;Misses;;3.211;193745,33;73261,48;1,60;96,39
;Misses;;2.696;216837,59;108143,96;2,09;168,22
;Misses;Germany;845;47803,76;22631,90;2,85;160,96
;Misses;Germany;820;53591,66;22771,14;2,61;170,67
;Misses;Germany;775;56614,74;24396,02;2,25;164,58
;Mister;;772;43493,65;15814,90;1,75;98,85
;Misses;Germany;768;45960,35;23705,81;2,62;156,86
;Misses;Germany;752;42621,75;17384,26;2,34;132,78
;Misses;Germany;721;46380,23;23293,61;2,73;175,68
;Misses;Germany;690;42389,59;25713,27;2,60;159,96
;Misses;Germany;655;44522,18;22521,38;2,22;150,92
;Misses;;646;46601,71;21507,72;1,59;114,50
32;Mister;Germany;640;1107,09;51,99;37,65;65,12
57;Misses;Poland;637;52263,13;24361,33;6,64;544,41
39;Mister;Poland;626;79049,93;0,00;2,41;304,04
49;Misses;Germany;623;89384,11;5458,57;11,33;1625,17
;Misses;Germany;620;43947,52;20486,35;2,51;177,93
;Misses;Germany;620;38259,30;18237,70;2,63;162,12
;Mister;;617;50600,77;13995,49;1,76;144,57
;Misses;Germany;598;34157,78;18127,97;2,93;167,44
;Misses;Germany;586;38732,17;21716,13;2,62;172,91
;Misses;Germany;571;27793,91;14659,54;3,21;156,15
;Misses;Germany;570;35446,71;17319,60;2,59;161,12
;Misses;Germany;563;35299,94;16618,05;2,49;156,19
;Misses;Germany;561;39652,61;18333,23;2,43;171,66
;Misses;Germany;549;40841,83;23077,81;2,44;181,52
;Misses;Germany;548;34761,12;16662,13;2,95;186,89
;Misses;Germany;538;29075,84;14444,92;2,37;128,09
;Misses;Germany;534;32914,60;20816,31;3,00;184,91
51;Mister;Germany;525;52595,61;1736,68;1,65;165,40
;Misses;Germany;522;33227,90;15393,33;2,14;136,18
;Misses;Germany;503;35492,50;18698,27;2,31;162,81
;Misses;Germany;489;31332,27;13970,48;2,57;164,91
;Misses;Germany;487;29443,12;15644,40;2,59;156,61
;Misses;Germany;485;28911,59;16411,24;2,92;174,17
;Misses;Germany;485;39046,52;23655,38;2,99;241,03
;Misses;Germany;482;25052,31;12140,56;3,09;160,59
;Misses;Germany;481;30263,36;15321,34;2,54;160,12
;Misses;Germany;474;30037,42;12473,18;2,25;142,36
;Misses;Germany;470;27450,66;14262,07;2,90;169,45
;Misses;Germany;469;25489,55;12766,90;3,19;173,40
;Misses;Germany;469;27993,33;15145,55;2,86;170,69
;Misses;Germany;467;30720,10;13785,84;2,67;175,54
