Age;Title;Country;Ordered Quantity; Ordered Value ; Returned Value ; Average Order Quantitiy ; Average Order Value ;
;Misses;;3211;193745.33;73261.48;1.60;96.40;
;Misses;;2696;216837.59;18143.96;2.92;168.22;
;Misses;Germany;845;4783.76;22631.90;2.85;16.96;
;Misses;Germany;82;53591.66;22771.14;2.61;17.67;
;Misses;Germany;775;56614.74;24396.20;2.25;164.58;
;Mister;;772;43493.65;15814.92;1.75;98.85;
;Misses;Germany;768;4596.35;2375.81;2.62;156.86;
;Misses;Germany;752;42621.75;17384.26;2.34;132.78;
;Misses;Germany;721;4638.23;23293.61;2.73;175.68;
;Misses;Germany;69;42389.59;25713.27;2.64;159.97;
;Misses;Germany;655;44522.18;22521.38;2.22;15.92;
;Misses;;646;4661.71;2157.72;1.59;114.55;
32;Mister;Germany;64;117.90;51.99;37.65;65.12;
57;Misses;Poland;637;52263.13;24361.33;6.64;544.48;
39;Mister;Poland;626;7949.93;;2.48;34.38;
49;Misses;Germany;623;89384.11;5458.57;11.33;1625.17;
;Misses;Germany;62;43947.52;2486.35;2.51;177.93;
;Misses;Germany;62;38259.30;18237.70;2.63;162.12;
;Mister;;617;56.77;13995.49;1.76;144.57;
;Misses;Germany;598;34157.78;18127.97;2.93;167.45;
;Misses;Germany;586;38732.17;21716.13;2.62;172.91;
;Misses;Germany;571;27793.91;14659.54;3.28;156.15;
;Misses;Germany;57;35446.71;17319.60;2.60;161.12;
;Misses;Germany;563;35299.94;16618.50;2.49;156.19;
;Misses;Germany;561;39652.61;18333.23;2.43;171.66;
;Misses;Germany;549;4841.83;2377.81;2.44;181.52;
;Misses;Germany;548;34761.12;16662.13;2.95;186.89;
;Misses;Germany;538;2975.84;14444.92;2.37;128.87;
;Misses;Germany;534;32914.60;2816.31;3.00;184.91;
51;Mister;Germany;525;52595.61;1736.68;1.66;165.40;
;Misses;Germany;522;33227.90;15393.33;2.14;136.18;
;Misses;Germany;53;35492.50;18698.27;2.37;162.90;
;Misses;Germany;489;31332.27;1397.48;2.57;164.97;
;Misses;Germany;487;29443.12;15644.40;2.59;156.61;
;Misses;Germany;485;28911.59;16411.24;2.92;174.17;
;Misses;Germany;485;3946.52;23655.38;2.99;241.28;
;Misses;Germany;482;2552.31;1214.56;3.90;16.59;
;Misses;Germany;481;3263.36;15321.34;2.54;16.12;
;Misses;Germany;474;337.42;12473.18;2.25;142.36;
;Misses;Germany;47;2745.66;14262.70;2.91;169.45;
;Misses;Germany;469;25489.55;12766.90;3.19;173.40;
;Misses;Germany;469;27993.33;15145.55;2.86;17.69;
;Misses;Germany;467;372.10;13785.84;2.67;175.54;
;Misses;Germany;464;3397.41;1594.59;2.62;171.74;
;Misses;Germany;462;35127.45;19293.22;2.48;188.86;
;Misses;Germany;462;3219.67;198.53;2.58;179.84;
;Misses;Germany;462;23873.60;11837.69;3.24;166.95;
;Misses;Germany;461;32436.60;19188.59;2.41;168.95;
;Misses;Germany;455;25793.58;11417.35;2.49;14.95;
;Misses;Germany;455;31759.17;15825.95;2.38;166.28;
;Misses;Germany;455;32798.11;15565.85;2.16;155.44;
;Misses;Germany;454;3274.67;17621.26;2.45;176.25;
28;Misses;;448;5133.16;32662.47;2.95;329.82;
;Misses;Germany;443;28411.13;1783.69;2.68;172.19;
;Misses;Germany;436;2794.50;13471.27;2.32;148.43;
;Misses;Germany;436;25527.19;12913.59;2.62;152.86;
;Misses;Germany;436;28956.76;16381.50;2.40;159.14;
;Misses;Germany;436;26253.75;13168.92;2.97;178.60;
;Misses;Germany;435;2623.80;1136.43;2.39;144.13;
;Misses;Germany;43;2559.20;14566.35;2.76;16.63;
53;Misses;;427;2748.98;1446.38;3.32;29.68;
;Misses;Germany;422;23382.82;11514.54;3.36;168.22;
53;Misses;;422;33651.65;2165.99;2.48;197.96;
;Misses;Germany;422;25153.97;12963.70;2.64;157.21;
;Misses;Germany;42;25298.52;122.14;2.44;147.84;
54;Misses;;419;31265.36;1646.55;2.29;17.85;
;Misses;Germany;419;2657.36;13629.27;2.81;178.32;
;Misses;Germany;416;2745.50;14578.19;2.40;157.76;
;Misses;Germany;413;2322.15;9461.40;2.55;143.22;
;Misses;Germany;413;24716.47;131.12;2.66;159.46;
;Misses;Germany;48;24696.10;14472.54;2.72;164.65;
;Misses;Germany;46;26595.49;1473.35;1.84;118.22;
;Misses;Germany;43;2811.75;1294.37;2.38;166.34;
;Misses;Germany;42;28433.43;14989.49;2.51;177.79;
;Misses;Germany;4;22338.88;9664.73;2.86;159.56;
;Misses;Germany;399;25156.39;12249.42;3.24;24.52;
;Misses;Germany;396;21297.94;1663.23;2.44;131.47;
;Misses;Germany;396;22673.53;195.28;2.69;154.24;
;Misses;Germany;395;2667.66;12442.55;2.69;139.64;
31;Misses;;394;32468.83;2666.48;2.72;223.92;
;Misses;Germany;391;21447.50;12473.30;2.72;148.94;
;Misses;Germany;389;2655.15;14265.49;2.39;162.88;
;Misses;Germany;386;2716.89;13996.70;2.14;15.94;
41;Misses;Austria;386;21916.46;9919.90;3.42;193.96;
;Misses;Germany;386;3151.93;16576.77;2.56;195.79;
;Misses;Germany;384;28349.48;1955.87;2.27;162.93;
;Misses;Germany;384;26585.24;1885.28;2.12;146.88;
;Misses;Germany;383;2471.22;13295.89;2.95;19.94;
38;Misses;;381;36748.13;24557.72;2.34;225.45;
;Misses;Germany;377;24562.53;1568.50;1.97;128.60;
;Misses;Germany;376;24658.54;12185.17;2.52;165.49;
;Misses;Germany;376;21953.58;11366.39;2.89;168.87;
47;Misses;;375;26982.97;1172.84;2.16;145.70;
;Misses;Germany;374;22183.33;12495.23;4.00;183.33;
;Misses;Germany;373;21426.20;1815.76;2.98;171.48;
25;Misses;Germany;372;6923.70;1659.11;1.18;194.23;
57;Misses;Germany;372;9986.80;1925.41;6.76;181.58;
5;Misses;;371;24469.70;198.83;2.16;142.27;
49;Misses;;37;3243.91;21511.18;2.83;245.48;
46;Misses;Germany;369;13527.32;845.16;21.76;795.72;
;Misses;Germany;365;24513.20;11319.17;2.57;172.63;
;Misses;Germany;365;287.60;9334.84;2.67;143.48;
4;Misses;Germany;363;;;121.00;;
;Misses;Germany;363;2214.50;14485.43;3.42;27.68;
46;Misses;;362;23933.82;8247.95;1.75;115.62;
3;Misses;;361;34164.33;21364.65;2.76;26.80;
;Misses;Germany;361;25239.80;12718.14;2.21;154.85;
;Misses;Germany;361;2341.52;12391.20;2.47;157.82;
29;Misses;;36;4248.40;2957.62;2.77;319.42;
;Misses;Germany;36;21751.60;8376.30;2.80;168.61;
;Misses;Germany;36;21112.26;8375.18;3.24;19.25;
;Misses;Austria;36;2267.38;7339.65;1.80;11.34;
51;Misses;;359;28648.85;17791.92;2.61;27.64;
;Misses;Germany;359;25939.66;13158.40;2.14;154.43;
55;Misses;;359;31129.53;1614.10;2.16;187.53;
;Misses;Germany;356;26454.89;12885.26;2.52;187.62;
;Misses;Germany;356;22773.89;11638.27;2.16;138.24;
;Misses;Germany;356;2335.46;9186.40;2.58;134.97;
;Misses;Germany;355;19211.19;1649.87;3.14;17.15;
;Misses;Germany;355;24.14;9536.66;2.32;13.98;
;Misses;Germany;353;24496.70;12616.27;2.89;144.96;
45;Misses;;353;2592.55;734.66;1.83;16.70;
;Misses;Germany;352;263.27;9829.37;2.46;144.79;
;Misses;Germany;35;2331.61;1716.42;2.44;159.94;
56;Misses;;35;26492.52;14711.86;2.32;175.45;
;Mister;Germany;349;2528.79;;12.34;863.62;
;Misses;Germany;349;25595.18;13876.23;2.48;181.53;
;Misses;Germany;348;21891.77;998.47;2.38;149.94;
;Misses;Germany;348;2153.96;933.38;2.62;151.53;
;Misses;Germany;348;25241.48;13226.90;2.46;177.76;
;Misses;Germany;348;25373.55;1117.40;2.34;17.29;
;Misses;Germany;347;2398.47;7418.98;2.51;147.82;
51;Misses;;347;17517.13;842.63;2.18;11.18;
;Misses;Germany;347;19966.88;6915.51;2.31;133.11;
;Misses;Germany;347;2581.27;14147.20;2.69;194.43;
;Misses;Germany;345;24448.64;13565.51;2.61;185.22;
;Misses;Germany;345;2169.90;11983.81;2.88;168.83;
58;Misses;;345;28797.80;16421.41;2.12;176.67;
;Misses;Germany;345;22349.49;1666.38;2.33;151.17;
;Misses;Germany;343;23981.75;13186.82;2.27;158.82;
;Misses;Germany;342;193.99;9956.71;2.48;139.86;
;Misses;Germany;341;24395.39;13527.11;2.44;174.25;
;Misses;Germany;34;24179.82;1992.53;1.88;133.59;
;Misses;Germany;34;2173.43;9545.13;2.86;169.52;
;Misses;Germany;339;1969.66;119.37;2.57;148.56;
;Misses;Germany;338;23415.46;11235.78;2.57;177.39;
;Misses;Germany;338;18746.29;1473.40;2.75;152.49;
;Misses;Germany;337;24228.22;11272.71;2.48;178.15;
;Misses;Germany;337;1967.21;1635.46;2.76;16.71;
;Misses;Germany;336;18768.34;126.70;4.38;24.62;
;Misses;Germany;336;1992.31;1366.72;2.56;151.93;
;Misses;Germany;334;2488.96;14693.94;2.43;178.48;
;Misses;Germany;333;2398.70;1384.40;2.36;17.71;
52;Misses;;333;2758.51;13172.16;2.81;169.12;
;Misses;Germany;332;19197.47;9476.46;2.89;166.93;
;Misses;Germany;331;2149.19;9431.24;2.24;145.24;
;Misses;Germany;33;278.53;12135.13;2.60;163.59;
36;Misses;Austria;33;14722.34;6839.31;3.27;145.77;
;Misses;Germany;329;21436.48;9736.41;2.96;193.12;
;Misses;Germany;328;2254.10;1195.80;2.21;148.13;
;Misses;Germany;328;18615.29;1981.47;3.15;178.99;
48;Misses;;327;253.19;17972.78;2.52;194.62;
;Misses;;325;417.39;18745.13;1.36;171.84;
;Misses;Germany;324;24391.16;12388.59;2.38;179.35;
;Misses;Germany;324;13857.90;6711.46;3.24;138.58;
;Misses;Germany;324;28114.32;18313.20;2.49;216.26;
;Misses;Germany;323;2212.16;1652.65;2.37;158.11;
;Misses;Germany;321;2164.65;9325.76;2.29;15.46;
48;Misses;;321;1987.73;8112.49;1.69;1.46;
;Misses;Germany;32;18966.40;9538.79;2.94;174.37;
57;Misses;;319;23134.19;11966.87;2.15;155.26;
;Misses;Germany;318;19735.12;7519.23;2.16;13.70;
;Misses;Germany;318;18487.89;9169.44;2.81;163.70;
;Misses;Germany;315;22311.71;967.51;1.81;128.23;
;Misses;Germany;313;18182.42;7955.24;1.99;115.81;
;Misses;Germany;313;2162.90;1173.40;2.48;155.99;
;Misses;Germany;313;18969.20;874.00;2.22;134.53;
42;Misses;;313;22792.41;8639.66;1.92;139.84;
;Misses;Germany;313;2147.49;1285.12;2.22;151.83;
;Misses;Germany;312;19759.30;8814.80;2.64;167.45;
;Misses;Germany;311;18368.60;8792.10;2.57;151.87;
;Misses;Germany;311;16255.11;8176.10;2.59;131.90;
;Misses;Germany;31;18335.49;9363.16;2.70;159.44;
61;Misses;;31;2996.10;1187.33;2.42;164.32;
;Misses;Germany;38;2499.40;12928.64;2.40;159.60;
;Misses;Germany;37;2622.43;992.59;2.54;17.43;
;Misses;Germany;37;2499.19;941.28;2.12;141.37;
;Misses;Germany;35;19541.70;889.34;3.50;195.42;
;Misses;Germany;34;17975.93;781.45;3.12;183.43;
34;Misses;Germany;34;3778.30;3958.50;1.39;172.51;
;Misses;Germany;33;16882.90;178.68;3.37;187.59;
;Misses;Germany;33;22964.50;12361.95;2.42;183.71;
;Misses;Germany;33;18996.51;7483.23;2.39;149.58;
;Misses;Germany;33;18694.86;12131.59;3.52;217.38;
6;Misses;;32;2366.20;1477.56;2.97;164.36;
54;Misses;;32;16898.80;7448.48;2.83;116.54;
;Misses;Germany;31;1919.63;9915.81;2.33;147.44;
;Misses;Germany;31;1846.66;131.16;3.72;222.80;
44;Misses;;3;18896.27;6749.84;1.72;18.60;
43;Misses;;3;16762.67;539.66;1.85;13.47;
52;Misses;;3;16975.56;5225.29;1.74;98.70;
;Misses;Germany;3;19851.24;921.22;2.68;177.24;
;Misses;Germany;3;2332.51;972.13;2.86;193.64;
;Misses;Germany;3;17243.39;725.94;2.69;149.94;
32;Misses;;299;3719.84;24169.61;2.79;345.98;
;Misses;Germany;299;17469.34;873.00;2.32;135.42;
55;Misses;;298;1613.46;6962.17;2.37;127.99;
;Misses;Germany;298;19697.74;11228.30;2.98;196.98;
47;Misses;;298;25211.76;1414.19;2.13;18.84;
;Misses;Germany;297;17434.52;7756.19;2.86;167.64;
31;Misses;;297;17942.45;1267.67;1.82;11.76;
;Misses;Germany;297;19983.95;926.76;2.48;166.53;
;Misses;Germany;296;15691.53;7289.19;2.57;136.45;
39;Mister;Germany;296;45269.23;6827.70;1.62;247.37;
;Misses;Germany;296;1769.69;6872.70;2.58;144.66;
5;Misses;;296;23999.51;1322.35;2.23;18.45;
;Misses;Germany;294;2148.70;16142.37;2.18;159.11;
;Misses;Germany;294;19942.17;9928.21;2.10;142.44;
;Misses;Germany;294;16128.30;965.92;3.00;164.57;
;Misses;Germany;294;1986.61;11322.52;2.80;189.15;
;Misses;Germany;293;1539.70;818.29;2.76;145.20;
46;Misses;Germany;293;3494.98;1698.35;5.86;681.90;
;Misses;Germany;293;2479.89;1492.63;2.42;167.87;
;Misses;Germany;293;14459.24;6749.73;3.57;176.33;
41;Misses;;293;22341.85;14469.96;2.66;23.18;
;Misses;Germany;293;2931.54;9739.22;2.42;172.99;
;Misses;Germany;293;21442.48;1237.22;3.26;238.25;
;Misses;Germany;292;1975.14;1115.69;2.15;145.22;
;Misses;Germany;291;2883.29;1397.79;2.43;174.27;
;Misses;Austria;291;15997.29;5715.58;2.72;149.57;
6;Misses;Germany;291;7437.30;333.53;12.13;39.88;
;Misses;Austria;29;15363.76;393.28;2.28;17.44;
;Misses;Germany;29;1723.60;1612.61;2.59;153.60;
;Misses;Germany;29;17748.78;5994.57;2.16;132.45;
27;Misses;;29;2838.51;1924.90;2.48;239.65;
;Misses;Germany;29;18662.45;12923.48;2.87;184.78;
;Misses;Germany;289;18884.88;9764.75;1.89;123.44;
;Misses;Germany;289;17515.63;7351.89;2.54;153.65;
;Misses;Germany;289;21178.28;9847.99;2.22;163.00;
;Misses;Germany;288;21841.85;11414.12;2.72;157.14;
;Misses;Germany;288;1841.58;6747.69;2.57;161.86;
;Misses;Germany;287;18687.86;9614.30;2.39;155.73;
45;Misses;Austria;287;15216.47;891.62;4.42;214.32;
;Misses;Germany;287;2376.30;11478.54;2.33;165.66;
;Misses;Germany;286;17661.80;1599.68;2.72;168.28;
;Misses;Germany;285;15968.88;8247.35;2.71;152.85;
;Misses;Germany;285;16251.30;8624.42;2.61;149.94;
;Misses;Germany;285;14874.81;7347.52;2.82;147.28;
;Misses;Germany;285;21173.10;1221.81;2.18;161.63;
;Misses;Germany;284;16691.18;4871.31;2.18;128.39;
;Misses;Germany;284;2419.18;767.11;2.49;179.12;
;Misses;Germany;284;16228.50;7935.39;2.65;151.66;
;Misses;Germany;284;19443.15;8339.80;1.96;13.50;
59;Misses;;283;2336.12;11647.94;1.99;143.21;
;Misses;Germany;283;18152.16;9449.72;2.53;162.73;
;Misses;Germany;282;16646.53;8351.42;2.12;125.16;
;Misses;Germany;282;18131.42;938.80;2.56;164.83;
;Misses;Germany;282;21935.50;11.57;2.17;168.73;
34;Misses;;282;24149.39;1644.47;2.71;232.26;
;Misses;Austria;281;15749.30;5861.16;2.71;112.50;
;Misses;Germany;281;17593.46;9363.81;3.22;189.18;
;Misses;Germany;279;1689.47;9369.36;2.33;14.75;
;Misses;Germany;278;14125.88;7166.36;2.42;122.83;
;Misses;Germany;278;1716.91;8291.80;2.55;156.12;
;Misses;Germany;278;19132.41;12261.65;3.88;262.88;
;Misses;Germany;278;18718.38;1216.51;2.26;148.56;
;Misses;Germany;278;1871.77;991.84;2.67;179.82;
;Misses;Germany;277;13846.82;687.46;2.35;117.35;
;Misses;Germany;277;2711.11;8623.92;2.50;186.59;
;Misses;Germany;276;24626.40;144.30;2.63;234.53;
33;Misses;;275;23892.34;17376.94;2.59;225.40;
;Misses;Germany;275;1833.56;1423.50;2.43;161.98;
49;Misses;;275;1745.15;815.67;1.89;114.84;
;Misses;Germany;274;16842.60;1212.12;2.71;166.75;
;Misses;Poland;274;15415.75;5727.53;1.99;111.78;
;Misses;Germany;274;18491.52;8249.84;2.69;181.29;
25;Misses;;274;25433.29;14554.54;2.23;26.77;
;Misses;Germany;273;2943.27;1359.14;2.55;195.73;
;Misses;Germany;273;18157.21;926.27;2.46;163.58;
;Misses;Germany;273;16196.49;78.77;2.53;149.97;
;Misses;Germany;273;16124.29;6747.92;2.26;133.26;
;Misses;Germany;273;18317.70;1144.50;3.96;265.47;
