age,title,country,order_q,order_v,return_v,avg_order_q,avg_order_v
,female,germany,
845,4783.76,22631.9,2.85,16.96
,male,,772,43493.65,15814.92,1.75,98.85
,female,germany,768,4596.35,2375.81,2.62,156.86
,female,germany,752,42621.75,17384.26,2.34,132.78
,female,germany,721,4638.23,23293.61,2.73,175.68
,female,germany,69,42389.59,25713.27,2.64,159.97
,female,germany,655,44522.18,22521.38,2.22,15.92
,female,,646,4661.71,2157.72,1.59,114.55
32,male,germany,64,117.9,51.99,37.65,65.12
39,male,poland,626,7949.93,,2.48,34.38
,female,germany,62,43947.52,2486.35,2.51,177.93
,female,germany,62,38259.3,18237.7,2.63,162.12
,male,,617,56.77,13995.49,1.76,144.57
,female,germany,598,34157.78,18127.97,2.93,167.45
,female,germany,586,38732.17,21716.13,2.62,172.91
,female,germany,571,27793.91,14659.54,3.28,156.15
,female,germany,57,35446.71,17319.6,2.6,161.12
,female,germany,563,35299.94,16618.5,2.49,156.19
,female,germany,561,39652.61,18333.23,2.43,171.66
,female,germany,549,4841.83,2377.81,2.44,181.52
,female,germany,548,34761.12,16662.13,2.95,186.89
,female,germany,538,2975.84,14444.92,2.37,128.87
,female,germany,534,32914.6,2816.31,3,184.91
,female,germany,522,33227.9,15393.33,2.14,136.18
,female,germany,53,35492.5,18698.27,2.37,162.9
,female,germany,489,31332.27,1397.48,2.57,164.97
,female,germany,487,29443.12,15644.4,2.59,156.61
,female,germany,485,28911.59,16411.24,2.92,174.17
,female,germany,485,3946.52,23655.38,2.99,241.28
,female,germany,482,2552.31,1214.56,3.9,16.59
,female,germany,481,3263.36,15321.34,2.54,16.12
,female,germany,474,337.42,12473.18,2.25,142.36
,female,germany,47,2745.66,14262.7,2.91,169.45
,female,germany,469,25489.55,12766.9,3.19,173.4
,female,germany,469,27993.33,15145.55,2.86,17.69
,female,germany,467,372.1,13785.84,2.67,175.54
,female,germany,464,3397.41,1594.59,2.62,171.74
,female,germany,462,35127.45,19293.22,2.48,188.86
,female,germany,462,3219.67,198.53,2.58,179.84
,female,germany,462,23873.6,11837.69,3.24,166.95
,female,germany,461,32436.6,19188.59,2.41,168.95
,female,germany,455,25793.58,11417.35,2.49,14.95
,female,germany,455,31759.17,15825.95,2.38,166.28
